Location,Region,State,Postcode
Belconnen,ACT,ACT,2617
Braddon,ACT,ACT,2612
Fyshwick,ACT,ACT,2609
Gungahlin,ACT,ACT,2912
Tuggeranong,ACT,ACT,2900
Woden,ACT,ACT,2606
Canberra,ACT,ACT ,2600
Bungendore,ACT,NSW,2621
Cooma,ACT,NSW,2630
Queanbeyan,ACT,NSW,2620
Tumut,ACT,NSW,2720
Yass,ACT,NSW,2582
Young,ACT,NSW,2594
Auburn,NSW Metro,NSW,2144
Bankstown,NSW Metro,NSW,2200
Baulkham Hills,NSW Metro,NSW,2153
Blacktown,NSW Metro,NSW,2148
Bondi Junction,NSW Metro,NSW,2022
Brookvale,NSW Metro,NSW,2100
Burwood,NSW Metro,NSW,2134
Cabramatta,NSW Metro,NSW,2166
Camden,NSW Metro,NSW,2570
Campbelltown,NSW Metro,NSW,2560
Campsie,NSW Metro,NSW,2194
Caringbah,NSW Metro,NSW,2229
Chatswood,NSW Metro,NSW,2067
Clyde,NSW Metro,NSW,2142
Darlinghurst,NSW Metro,NSW,2010
Eastern Creek,NSW Metro,NSW,2766
Fairfield,NSW Metro,NSW,2165
Glenbrook,NSW Metro,NSW,2773
Hornsby,NSW Metro,NSW,2077
Hurstville,NSW Metro,NSW,2220
Ingleburn,NSW Metro,NSW,2565
Leichhardt,NSW Metro,NSW,2040
Liverpool,NSW Metro,NSW,2170
Maroubra,NSW Metro,NSW,2035
Marrickville,NSW Metro,NSW,2204
Merrylands,NSW Metro,NSW,2160
Mt Druitt,NSW Metro,NSW,2770
Orchard Hills ,NSW Metro,NSW,2748
Parramatta,NSW Metro,NSW,2150
Penrith,NSW Metro,NSW,2750
Port Botany,NSW Metro,NSW,2036
Redfern,NSW Metro,NSW,2016
Richmond,NSW Metro,NSW,2753
Rockdale,NSW Metro,NSW,2216
Rouse Hill,NSW Metro,NSW,2155
Ryde,NSW Metro,NSW,2112
Springwood,NSW Metro,NSW,2777
St Marys,NSW Metro,NSW,2760
Sutherland,NSW Metro,NSW,2232
Sydney,NSW Metro,NSW,2000
Sydney International Airport,NSW Metro,NSW,
Villawood,NSW Metro,NSW,2163
Windsor,NSW Metro,NSW,2756
Cessnock,NSW Mid North,NSW,2325
Charlestown,NSW Mid North,NSW,2290
Ettalong,NSW Mid North,NSW,2257
Gosford,NSW Mid North,NSW,2250
Grafton,NSW Mid North,NSW,2460
Kempsey,NSW Mid North,NSW,2440
Kurri Kurri,NSW Mid North,NSW,2327
Lake Haven,NSW Mid North,NSW,2263
Maitland,NSW Mid North,NSW,2320
Mayfield,NSW Mid North,NSW,2304
Muswellbrook,NSW Mid North,NSW,2333
Nambucca Heads,NSW Mid North,NSW,2448
Nelson Bay,NSW Mid North,NSW,2315
Newcastle,NSW Mid North,NSW,2300
Port Macquarie,NSW Mid North,NSW,2444
Raymond Terrace,NSW Mid North,NSW,2324
Singleton,NSW Mid North,NSW,2330
Taree,NSW Mid North,NSW,2430
The Entrance,NSW Mid North,NSW,2261
Toronto,NSW Mid North,NSW,2283
Tuncurry,NSW Mid North,NSW,2428
Wallsend,NSW Mid North,NSW,2287
Williamtown,NSW Mid North,NSW,2318
Wingham,NSW Mid North,NSW,2429
Woy Woy,NSW Mid North,NSW,2256
Wyong,NSW Mid North,NSW,2259
Ballina,NSW North,NSW,2478
Booyong,NSW North,NSW,2480
Brunswick Heads,NSW North,NSW,2483
Byron Bay,NSW North,NSW,2481
Casino,NSW North,NSW,2470
Coffs Harbour,NSW North,NSW,2450
Lismore,NSW North,NSW,2480
Murwillumbah,NSW North,NSW,2484
Yamba,NSW North,NSW,2464
Armidale,NSW North West,NSW,2350
Glen Innes,NSW North West,NSW,2370
Gunnedah,NSW North West,NSW,2380
Inverell,NSW North West,NSW,2360
Junee,NSW North West,NSW,2663
Yanco,NSW North West,NSW,2703
Moree,NSW North West,NSW,2400
Narrabri,NSW North West,NSW,2390
Parkes,NSW North West,NSW,2870
Scone,NSW North West,NSW,2337
Tamworth ,NSW North West,NSW,2340
Bourke,NSW Remote,NSW,2840
Broken Hill,NSW Remote,NSW,2880
Lightning Ridge,NSW Remote,NSW,2834
Walgett,NSW Remote,NSW,2832
Willcannia,NSW Remote,NSW,2836
Batemans Bay,NSW South,NSW,2536
Bega,NSW South,NSW,2550
Corrimal,NSW South,NSW,2518
Dapto,NSW South,NSW,2530
Eden,NSW South,NSW,2551
Jervis Bay ,NSW South,NSW,2540
Katoomba,NSW South ,NSW,2780
Narooma,NSW South,NSW,2546
Nowra,NSW South,NSW,2541
Shellharbour,NSW South,NSW,2529
Ulladulla,NSW South,NSW,2539
Warrawong,NSW South,NSW,2502
Wollongong,NSW South,NSW,2500
Albury-Wodonga,NSW South West,NSW,2640
Bowral,NSW South West,NSW,2576
Cootamundra,NSW South West,NSW,2590
Corowa,NSW South West,NSW,2646
Deniliquin,NSW South West,NSW,2710
Goulburn,NSW South West,NSW,2580
Griffith,NSW South West,NSW,2680
Harden,NSW South West,NSW,2587
Wagga Wagga,NSW South West,NSW,2650
Bathurst,NSW West,NSW,2795
Cowra,NSW West,NSW,2794
Dubbo,NSW West,NSW,2830
Leeton,NSW West,NSW,2705
Lithgow,NSW West,NSW,2790
Mudgee,NSW West,NSW,2850
Narromine,NSW West,NSW,2821
Orange,NSW West,NSW,2800
Casuarina,NT Metro,NT,800
Darwin ,NT Metro,NT,800
Palmerston,NT Metro,NT,830
Alice Springs,NT Central,NT,872
Borroloola,NT Remote,NT,854
Galiwinku,NT Remote,NT,822
Groote Eylandt,NT Remote,NT,822
Hermannsburg,NT Remote,NT,827
Kakadu,NT Remote,NT,822
Katherine,NT Remote,NT,850
Maningrida,NT Remote,NT,822
Nhulunbuy,NT Remote,NT,880
Nhulunbuy,NT Remote,NT,880
Papunya,NT Remote,NT,872
Santa Teresa,NT Remote,NT,872
Tangentyere,NT Remote,NT,872
Tennant Creek,NT Remote,NT,860
Tiwi Islands,NT Remote,NT,822
Uluru,NT Remote,NT,872
Wadeye,NT Remote,NT,822
Yuendumu,NT Remote,NT,872
Christmas Island,Off shore,Oth,
Cocos island,Off shore,Oth,
Norfolk Island,Off shore,Oth,
Torres Strait,Off shore,Oth,
Biloela,QLD Central,QLD,4715
Bundaberg,QLD Central,QLD,4670
Emerald,QLD Central,QLD,4720
Gladstone,QLD Central,QLD,4680
Rockhampton,QLD Central,QLD,4700
Yeppoon,QLD Central,QLD,4703
Atherton,QLD Far North,QLD,4883
Cairns,QLD Far North,QLD,4870
Ingham,QLD Far North,QLD,4850
Innisfail,QLD Far North,QLD,4860
Mareeba,QLD Far North,QLD,4880
Mossman,QLD Far North,QLD,4873
Smithfield,QLD Far North,QLD,4878
Tully,QLD Far North,QLD,4854
Yarrabah,QLD Far North,QLD,4871
Ayr,QLD North,QLD,4807
Charters Towers,QLD North,QLD,4820
Earlville,QLD North,QLD,4870
Mackay,QLD North,QLD,4740
Townsville,QLD North,QLD,4810
Airlie Beach,QLD Remote,QLD,4802
Bamaga,QLD Remote,QLD,4876
Bowen,QLD Remote,QLD,4805
Charleville,QLD Remote,QLD,4470
Goondiwindi,QLD Remote,QLD,4390
Longreach,QLD Remote,QLD,4730
Mt Isa,QLD Remote,QLD,4825
Normanton,QLD Remote,QLD,4890
Palm Island,QLD Remote,QLD,4816
Roma,QLD Remote,QLD,4455
Thursday Island,QLD Remote,QLD,4875
Weipa,QLD Remote,QLD,4874
Whitsunday,QLD Remote,QLD,4874
Amberley,QLD South East,QLD,4306
Ashmore,QLD South East,QLD,4214
Beaudesert,QLD South East,QLD,4285
Beenleigh,QLD South East,QLD,4207
Biggera Waters,QLD South East,QLD,4216
Brisbane,QLD South East,QLD,4000
Brisbane airport,QLD South East,QLD,4005
Browns Plains,QLD South East,QLD,4118
Caboolture,QLD South East,QLD,4510
Cannon Hill,QLD South East,QLD,4170
Canungra,QLD South East,QLD,4285
Capalaba,QLD South East,QLD,4157
Chermside,QLD South East,QLD,4034
Cleveland,QLD South East,QLD,4163
Deception Bay,QLD South East,QLD,4508
Eagle Farm,QLD South East,QLD,4009
Fortitude Valley,QLD South East,QLD,4006
Gold Coast airport,QLD South East,QLD,4225
Goodna,QLD South East,QLD,4300
Inala,QLD South East,QLD,4077
Ipswich,QLD South East,QLD,4305
Margate,QLD South East,QLD,4019
Mitchelton,QLD South East,QLD,4053
Mt Gravatt,QLD South East,QLD,4122
Nerang,QLD South East,QLD,4211
Nundah,QLD South East,QLD,4012
Palm Beach,QLD South East,QLD,4221
Port of Brisbane,QLD South East,QLD,4178
Robina,QLD South East,QLD,4226
South Brisbane,QLD South East,QLD,4101
Southport,QLD South East,QLD,4215
Stones Corner,QLD South East,QLD,4120
Strathpine,QLD South East,QLD,4500
Toowong,QLD South East,QLD,4066
Tweed Heads,QLD South East,QLD,2485
Upper Mount Gravatt,QLD South East,QLD,4122
Woodridge,QLD South East,QLD,4114
Wynnum,QLD South East,QLD,4178
Buddina,QLD Sunshine Coast,QLD,4575
Caloundra,QLD Sunshine Coast,QLD,4551
Cherbourg,QLD Sunshine Coast,QLD,4605
Gympie,QLD Sunshine Coast,QLD,4570
Hervey Bay,QLD Sunshine Coast,QLD,4655
Kawana Waters,QLD Sunshine Coast,QLD,4575
Kilcoy,QLD Sunshine Coast,QLD,4515
Kingaroy,QLD Sunshine Coast,QLD,4610
Maroochydore,QLD Sunshine Coast,QLD,4558
Maryborough,QLD Sunshine Coast,QLD,4650
Murgon,QLD Sunshine Coast,QLD,4605
Nambour,QLD Sunshine Coast,QLD,4560
Noosa,QLD Sunshine Coast,QLD,4567
Noosaville,QLD Sunshine Coast,QLD,4566
Coominya,QLD West,QLD,4311
Dalby,QLD West,QLD,4405
Grantham,QLD West,QLD,4347
Oakey,QLD West,QLD,4401
Stanthorpe,QLD West,QLD,4380
Toowoomba,QLD West,QLD,4350
Wallangarra,QLD West,QLD,4383
Warwick,QLD West,QLD,4370
Adelaide ,SA Metro,SA,5000
Adelaide airport,SA Metro,SA,5950
Edinburgh,SA Metro,SA,5111
Elizabeth,SA Metro,SA,5112
Enfield,SA Metro,SA,5085
Gawler,SA Metro,SA,5118
Glenelg,SA Metro,SA,5045
Kilkenny,SA Metro,SA,5009
Lobethal,SA Metro,SA,5241
Marion,SA Metro,SA,5043
Modbury,SA Metro,SA,5092
Mt Barker,SA Metro,SA,5251
